"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","1049","Central:BAT_1049",""
"2","C1, C2","2","12pF","",""
"3","C3","1","0.8p","",""
"4","C4, C8, C9","3","100n","",""
"5","C5","1","1u","",""
"6","C6","1","100p","",""
"7","C7","1","4.7u","",""
"8","C10, C11","2","1µ","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"9","C12, C15, C22","3","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"10","C13","1","10u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"11","C14","1","100µ","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"12","C16","1","100p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"13","C17","1","22p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"14","C18, C19, C20, C21","4","33p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"15","D1","1","STAT1","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"16","D2","1","STAT2","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"17","J1","1","Conn_ARM_JTAG_SWD_10","Connector_PinSocket_1.27mm:PinSocket_2x05_P1.27mm_Vertical",""
"18","J2","1","Barrel_Jack","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal",""
"19","J3","1","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"20","J4","1","SMA_CONNECTOR","Central:LPRS_SMA_CONNECTOR",""
"21","J5","1","SIM8051-6-0-14-01-X-REVD","Central:GCT_SIM8051-6-0-14-01-X-REVD",""
"22","L1","1","3.9n","",""
"23","R1","1","600","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"24","R2","1","100K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"25","R3, R4","2","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"26","R5","1","3.6K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"27","R6, R7, R8, R9, R10","5","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"28","R11, R12, R13","3","22","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"29","R14","1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"30","RT1","1","NTCG103JF103FT1","Central:THERM_NTCG103JF103FT1",""
"31","U1","1","NRF52832-QFAA-R","Central:QFN40P600X600X90-49N",""
"32","U2","1","BQ25171QWDRCRQ1","Central:VSON10_BQ25171_3X3_TEX",""
"33","U3","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"34","U4","1","BC660K-GL","Central:XCVR_BC660K-GL",""
"35","U5","1","ESDS304DBVR","Central:SOT95P280X145-5N",""
"36","Y1","1","CX2016DB32000D0WZRC1","Central:OSCCC200X160X45N",""
