"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C6","2","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","C2, C3, C4, C5","4","33p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","C7","1","100p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","C8","1","22p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"5","C9","1","100µ","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"6","J1","1","SMA_CONNECTOR","SMA_CONNECTOR:LPRS_SMA_CONNECTOR",""
"7","J2","1","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"8","J3, J5","2","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"9","J4","1","SIM8051-6-0-14-01-X-REVD","SIM8051-6-0-14-01-X-REVD:GCT_SIM8051-6-0-14-01-X-REVD",""
"10","J6","1","Conn_01x06_Pin","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"11","R1, R2, R3","3","22","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"12","R4","1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"13","R5, R6, R7, R8, R9","5","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"14","U1","1","BC660K-GL","BC660K-GL:XCVR_BC660K-GL",""
"15","U2","1","ESDS304DBVR","ESDS304DBVR:SOT95P280X145-5N",""
